EngDispl,NumCyl,FE ,NumGears,EngDispl2011,NumCyl2011,Becoef_Engd2010,Becoef_Numcyl2010,predictedval12011,predictedval22011,,,,
4.7,8,28.0198,6,5.9,12,-4.517,-2.9203,23.9127,28.7816,,,,
4.7,8,25.6094,6,4.2,8,-4.517,-2.9203,31.5916,28.7816,,predictedval12011,,prediction using EngDispl2011
4.2,8,26.8,6,4.2,8,-4.517,-2.9203,31.5916,28.7816,,,,
4.2,8,25.0451,6,5.2,10,-4.517,-2.9203,27.0746,28.7816,,predictedval22011,,prediction using Numcyl2011
5.2,10,24.8,6,5.2,10,-4.517,-2.9203,27.0746,22.941,,,,
5.2,10,23.9,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
2,4,39.7256,6,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
6,12,24.4,6,1.5,4,-4.517,-2.9203,43.7875,17.1004,,,,
3,6,39.7103,6,6.3,8,-4.517,-2.9203,22.1059,34.6222,,,,
3,6,38.7896,6,6,12,-4.517,-2.9203,23.461,34.6222,,,,
3,6,33.6296,7,6.2,8,-4.517,-2.9203,22.5576,34.6222,,,,
3,6,35.2678,6,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
8,16,17.8,7,3.8,6,-4.517,-2.9203,33.3984,5.4192,,,,
6.2,8,27.1,6,3.4,6,-4.517,-2.9203,35.2052,28.7816,,,,
6.2,8,34.3493,6,3.4,6,-4.517,-2.9203,35.2052,28.7816,,,,
6.2,8,35.8,6,5,8,-4.517,-2.9203,27.978,28.7816,,,,
7,8,33.7,6,3.8,6,-4.517,-2.9203,33.3984,28.7816,,,,
8.4,10,30,6,3.8,6,-4.517,-2.9203,33.3984,22.941,,,,
8.4,10,30,6,3.8,6,-4.517,-2.9203,33.3984,22.941,,,,
4.5,8,24.3499,7,3.8,6,-4.517,-2.9203,33.3984,28.7816,,,,
5.7,12,20.99,6,6,12,-4.517,-2.9203,23.461,17.1004,,,,
5.7,12,21.1,6,3,6,-4.517,-2.9203,37.012,17.1004,,,,
5.2,10,25.4,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,24,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,25.4,6,3,6,-4.517,-2.9203,37.012,22.941,,,,
5.2,10,22.6,6,1.6,4,-4.517,-2.9203,43.3358,22.941,,,,
6.5,12,17.5,7,1.6,4,-4.517,-2.9203,43.3358,17.1004,,,,
6.5,12,19.9,7,1.6,4,-4.517,-2.9203,43.3358,17.1004,,,,
6.5,12,19.9,7,3.7,6,-4.517,-2.9203,33.8501,17.1004,,,,
6.5,12,17.5,7,3.7,6,-4.517,-2.9203,33.8501,17.1004,,,,
6.5,12,19.9,7,3.5,6,-4.517,-2.9203,34.7535,17.1004,,,,
1.8,4,37.62,6,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
1.8,4,37.0028,6,5.5,8,-4.517,-2.9203,25.7195,40.4628,,,,
2,4,38.9959,5,5.5,8,-4.517,-2.9203,25.7195,40.4628,,,,
2,4,39,6,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
2,4,38.512,6,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
5.5,8,29.3,7,1.8,4,-4.517,-2.9203,42.4324,28.7816,,,,
3,6,35.9,6,1.8,4,-4.517,-2.9203,42.4324,34.6222,,,,
3.5,6,36.2,7,4,8,-4.517,-2.9203,32.495,34.6222,,,,
3.5,6,34.5,7,4,8,-4.517,-2.9203,32.495,34.6222,,,,
3.5,6,34.7927,6,1.4,4,-4.517,-2.9203,44.2392,34.6222,,,,
5.5,8,30.8,7,1.4,4,-4.517,-2.9203,44.2392,28.7816,,,,
1,3,57.8,5,1.4,4,-4.517,-2.9203,44.2392,43.3831,,,,
1,3,57.8,5,1.4,4,-4.517,-2.9203,44.2392,43.3831,,,,
3.7,6,35.9802,6,2,4,-4.517,-2.9203,41.529,34.6222,,,,
3.7,6,36.9,7,2,4,-4.517,-2.9203,41.529,34.6222,,,,
3.7,6,34.5832,7,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.7,6,34.9,6,6.4,8,-4.517,-2.9203,21.6542,34.6222,,,,
2,4,37.5,5,6.4,8,-4.517,-2.9203,21.6542,40.4628,,,,
2,4,40,5,1.8,4,-4.517,-2.9203,42.4324,40.4628,,,,
2.4,4,33.6,5,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
2.4,4,36.4,5,1.5,4,-4.517,-2.9203,43.7875,40.4628,,,,
3.8,6,28.5532,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.8,6,27.372,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,37.3296,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,41.3608,7,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.4,6,36.7299,6,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
3.4,6,40.9978,7,1.6,4,-4.517,-2.9203,43.3358,34.6222,,,,
2.9,6,37.3296,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
2.9,6,41.3608,7,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
3.4,6,36.7299,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
3.4,6,40.9978,7,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
2,4,37.5,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
2,4,40,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
2.4,4,36.4,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
2.4,4,33.6,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
4.2,8,27.471,6,2,4,-4.517,-2.9203,41.529,28.7816,,,,
5.9,12,23.6523,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,27.2408,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,22.9258,6,2,4,-4.517,-2.9203,41.529,17.1004,,,,
5.9,12,24.6983,6,2.5,5,-4.517,-2.9203,39.2705,17.1004,,,,
4.3,8,26.1157,7,2.5,5,-4.517,-2.9203,39.2705,28.7816,,,,
5,8,32.8808,6,3,6,-4.517,-2.9203,37.012,28.7816,,,,
5,8,30.3378,6,6.8,8,-4.517,-2.9203,19.8474,28.7816,,,,
5,8,30.8027,6,4.4,8,-4.517,-2.9203,30.6882,28.7816,,,,
4.3,8,31.6,6,4.4,8,-4.517,-2.9203,30.6882,28.7816,,,,
3.5,6,35.5,6,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
1.6,4,51.6555,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,47.2025,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,52,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,47.2025,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,44.5714,6,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
1.6,4,47.7592,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,44.5714,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,47.7592,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
1.6,4,46.5047,6,3,6,-4.517,-2.9203,37.012,40.4628,,,,
1.6,4,46.5047,6,2.5,6,-4.517,-2.9203,39.2705,40.4628,,,,
2.4,4,36.2628,4,2.5,6,-4.517,-2.9203,39.2705,40.4628,,,,
3.8,6,33.2,5,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3.6,6,35.2427,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3.6,6,37.6908,7,5.6,8,-4.517,-2.9203,25.2678,34.6222,,,,
3.6,6,34.8754,6,5.6,8,-4.517,-2.9203,25.2678,34.6222,,,,
3.6,6,36.7563,7,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.6,6,34.8754,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
3.6,6,36.4395,7,2.3,4,-4.517,-2.9203,40.1739,34.6222,,,,
3.6,6,34.8754,6,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.6,6,36.4395,7,4.2,8,-4.517,-2.9203,31.5916,34.6222,,,,
3.8,6,34.5148,6,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.8,6,36.013,7,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.8,6,34.5148,6,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.8,6,37.0769,7,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.8,6,34.5148,6,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.8,6,37.0769,7,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.6,6,35.2427,6,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.6,6,37.6908,7,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.8,6,35.3594,6,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.8,6,36.9347,7,4.4,8,-4.517,-2.9203,30.6882,34.6222,,,,
3.8,6,36.9347,7,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.8,6,35.3594,6,5.7,8,-4.517,-2.9203,24.8161,34.6222,,,,
3.8,6,33.8482,7,4.6,8,-4.517,-2.9203,29.7848,34.6222,,,,
3.8,6,33.1649,6,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.8,6,34.255,7,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.8,6,33.2357,6,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.8,6,33.8482,7,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3.8,6,34.255,7,3,6,-4.517,-2.9203,37.012,34.6222,,,,
2.5,5,39.7267,6,3,6,-4.517,-2.9203,37.012,37.5425,,,,
5.9,12,26.6208,6,1.6,4,-4.517,-2.9203,43.3358,17.1004,,,,
2,4,42.7743,1,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
2,4,37,6,1.6,4,-4.517,-2.9203,43.3358,40.4628,,,,
2,4,37.7989,6,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
2,4,42.575,6,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
3.2,6,36.2,6,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
4.2,8,31,6,2.5,4,-4.517,-2.9203,39.2705,28.7816,,,,
4.2,8,29.3,6,2.5,4,-4.517,-2.9203,39.2705,28.7816,,,,
3,6,34,7,2.5,4,-4.517,-2.9203,39.2705,34.6222,,,,
2,4,39.7256,6,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
6,12,23.2715,6,3.7,6,-4.517,-2.9203,33.8501,17.1004,,,,
3,6,38.1696,6,4.7,8,-4.517,-2.9203,29.3331,34.6222,,,,
3,6,38.7896,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,39.7103,6,4.7,8,-4.517,-2.9203,29.3331,34.6222,,,,
3,6,38.7896,6,5.7,8,-4.517,-2.9203,24.8161,34.6222,,,,
3,6,35.5,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,35.2678,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,36.1548,6,5,8,-4.517,-2.9203,27.978,34.6222,,,,
3,6,35.7081,6,5,8,-4.517,-2.9203,27.978,34.6222,,,,
3,6,39.7103,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,38.7896,6,4.7,8,-4.517,-2.9203,29.3331,34.6222,,,,
3,6,38.1696,6,4.7,8,-4.517,-2.9203,29.3331,34.6222,,,,
3,6,36.798,6,5.7,8,-4.517,-2.9203,24.8161,34.6222,,,,
3,6,35.5404,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,35.4606,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3,6,36.1548,6,5,8,-4.517,-2.9203,27.978,34.6222,,,,
3,6,35.7081,6,5,8,-4.517,-2.9203,27.978,34.6222,,,,
3,6,36.1548,6,6.2,8,-4.517,-2.9203,22.5576,34.6222,,,,
3,6,35.7081,6,2.2,4,-4.517,-2.9203,40.6256,34.6222,,,,
3,6,34.7288,6,6,8,-4.517,-2.9203,23.461,34.6222,,,,
3,6,34.2853,6,6,8,-4.517,-2.9203,23.461,34.6222,,,,
4.8,8,30.5375,6,6,8,-4.517,-2.9203,23.461,28.7816,,,,
4.8,8,31.3747,6,4.6,8,-4.517,-2.9203,29.7848,28.7816,,,,
4.8,8,28.8,6,5.4,8,-4.517,-2.9203,26.1712,28.7816,,,,
4.8,8,31.8,6,4.6,8,-4.517,-2.9203,29.7848,28.7816,,,,
4,8,27.3704,7,5.4,8,-4.517,-2.9203,26.1712,28.7816,,,,
4,8,27.3,6,6.8,10,-4.517,-2.9203,19.8474,28.7816,,,,
4,8,28.4,6,5.4,8,-4.517,-2.9203,26.1712,28.7816,,,,
4,8,27.9711,7,6,8,-4.517,-2.9203,23.461,28.7816,,,,
5,10,23.227,6,6,8,-4.517,-2.9203,23.461,22.941,,,,
5,10,23.6182,7,6,8,-4.517,-2.9203,23.461,22.941,,,,
5,10,23.7,6,4.8,8,-4.517,-2.9203,28.8814,22.941,,,,
5,10,24.0505,7,6,8,-4.517,-2.9203,23.461,22.941,,,,
1.6,4,47.9,4,6,8,-4.517,-2.9203,23.461,40.4628,,,,
1.6,4,48.9,5,4.6,8,-4.517,-2.9203,29.7848,40.4628,,,,
2.2,4,51.9,5,5.4,8,-4.517,-2.9203,26.1712,40.4628,,,,
2.2,4,46.8,4,6.8,10,-4.517,-2.9203,19.8474,40.4628,,,,
2,4,41.9,5,5.4,8,-4.517,-2.9203,26.1712,40.4628,,,,
2.2,4,51.9,5,4.8,8,-4.517,-2.9203,28.8814,40.4628,,,,
4,6,32.7568,5,6,8,-4.517,-2.9203,23.461,34.6222,,,,
4,6,36.3926,5,6,8,-4.517,-2.9203,23.461,34.6222,,,,
4.6,8,32.1109,5,3.6,6,-4.517,-2.9203,34.3018,28.7816,,,,
4.6,8,33.8,5,3.6,6,-4.517,-2.9203,34.3018,28.7816,,,,
5.4,8,30.4,6,2.7,4,-4.517,-2.9203,38.3671,28.7816,,,,
1.8,4,50.5,5,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
1.8,4,48.6,5,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
1.8,4,51.1915,5,6,8,-4.517,-2.9203,23.461,40.4628,,,,
2,4,40.5,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
2,4,41.7998,5,5.7,8,-4.517,-2.9203,24.8161,40.4628,,,,
2,4,42,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
3.8,6,38.0484,6,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
3.8,6,36.4,6,3.7,6,-4.517,-2.9203,33.8501,34.6222,,,,
3.7,6,32.9748,6,4,6,-4.517,-2.9203,32.495,34.6222,,,,
3.7,6,35.2288,7,3.5,6,-4.517,-2.9203,34.7535,34.6222,,,,
3.7,6,34.7305,6,3.5,6,-4.517,-2.9203,34.7535,34.6222,,,,
3.7,6,37.065,7,6,8,-4.517,-2.9203,23.461,34.6222,,,,
3.7,6,35.162,7,6,8,-4.517,-2.9203,23.461,34.6222,,,,
2.5,6,36.2901,6,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
2.5,6,36.7047,6,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
2.5,6,40.8247,6,3.5,6,-4.517,-2.9203,34.7535,34.6222,,,,
3.5,6,36.5564,6,5.4,8,-4.517,-2.9203,26.1712,34.6222,,,,
5,8,32.0888,8,2,4,-4.517,-2.9203,41.529,28.7816,,,,
4.2,8,26.8817,6,2,4,-4.517,-2.9203,41.529,28.7816,,,,
4.7,8,26.7022,6,3.2,6,-4.517,-2.9203,36.1086,28.7816,,,,
4.7,8,26.5604,6,3.2,6,-4.517,-2.9203,36.1086,28.7816,,,,
1.3,2,30.2,6,3,6,-4.517,-2.9203,37.012,46.3034,,,,
1.3,2,32.1,6,3,6,-4.517,-2.9203,37.012,46.3034,,,,
3.5,6,36.0876,7,3,6,-4.517,-2.9203,37.012,34.6222,,,,
5.5,8,31.7,7,4.4,8,-4.517,-2.9203,30.6882,28.7816,,,,
1.6,4,51.6555,6,6,8,-4.517,-2.9203,23.461,40.4628,,,,
1.6,4,47.2025,6,6.2,8,-4.517,-2.9203,22.5576,40.4628,,,,
1.6,4,44.5714,6,6.2,8,-4.517,-2.9203,22.5576,40.4628,,,,
1.6,4,47.7592,6,5.3,8,-4.517,-2.9203,26.6229,40.4628,,,,
1.6,4,46.5047,6,5.3,8,-4.517,-2.9203,26.6229,40.4628,,,,
2.4,4,38.5995,5,6,8,-4.517,-2.9203,23.461,40.4628,,,,
2.4,4,37.4902,4,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
3.8,6,34.6,6,5.7,8,-4.517,-2.9203,24.8161,34.6222,,,,
3.8,6,33.2,5,3.6,6,-4.517,-2.9203,34.3018,34.6222,,,,
2.5,4,44.7365,1,3.7,6,-4.517,-2.9203,33.8501,40.4628,,,,
2.5,4,43.8,6,4,6,-4.517,-2.9203,32.495,40.4628,,,,
3.5,6,37.9628,6,6,8,-4.517,-2.9203,23.461,34.6222,,,,
3.5,6,38.0169,1,5.3,8,-4.517,-2.9203,26.6229,34.6222,,,,
3.8,6,29.0307,6,6.2,8,-4.517,-2.9203,22.5576,34.6222,,,,
2.2,4,51.9,5,6,8,-4.517,-2.9203,23.461,40.4628,,,,
2.2,4,46.8,4,5,8,-4.517,-2.9203,27.978,40.4628,,,,
2.2,4,46.8,4,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
2.2,4,51.9,5,3.5,6,-4.517,-2.9203,34.7535,40.4628,,,,
2.2,4,51.9,5,5,8,-4.517,-2.9203,27.978,40.4628,,,,
4.6,8,29.14,5,5,8,-4.517,-2.9203,27.978,28.7816,,,,
4.6,8,31.61,5,3,6,-4.517,-2.9203,37.012,28.7816,,,,
2,4,41.2,6,3,6,-4.517,-2.9203,37.012,40.4628,,,,
2,4,37.5,5,3,6,-4.517,-2.9203,37.012,40.4628,,,,
1.6,4,48.9,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
1.6,4,42.1,4,3,6,-4.517,-2.9203,37.012,40.4628,,,,
2.4,4,40.2,4,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
2.4,4,38.2,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
1.8,4,47.2,4,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
1.8,4,46.9,5,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
1.5,4,48.8622,4,2.5,4,-4.517,-2.9203,39.2705,40.4628,,,,
1.5,4,50.6725,5,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
2,4,41.521,6,3.6,6,-4.517,-2.9203,34.3018,40.4628,,,,
2,4,41.3156,6,3,6,-4.517,-2.9203,37.012,40.4628,,,,
2.5,5,40.8,6,1.8,4,-4.517,-2.9203,42.4324,37.5425,,,,
2.5,5,39.3753,5,1.8,4,-4.517,-2.9203,42.4324,37.5425,,,,
2.5,5,38.4,5,4.6,8,-4.517,-2.9203,29.7848,37.5425,,,,
2.5,5,38.6,6,4.6,8,-4.517,-2.9203,29.7848,37.5425,,,,
2.4,4,39.3,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
2.4,4,42.3,5,2,4,-4.517,-2.9203,41.529,40.4628,,,,
3.5,6,37.6,5,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
2,4,42.7743,1,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
2,4,37.7989,6,2.4,4,-4.517,-2.9203,39.7222,40.4628,,,,
2,4,42.575,6,2,4,-4.517,-2.9203,41.529,40.4628,,,,
3,6,34.1,6,3.5,6,-4.517,-2.9203,34.7535,34.6222,,,,
3,6,35,7,2,4,-4.517,-2.9203,41.529,34.6222,,,,
6.8,8,21.006,6,2,4,-4.517,-2.9203,41.529,28.7816,,,,
6.8,8,21.006,6,2.8,6,-4.517,-2.9203,37.9154,28.7816,,,,
6,12,23.8,6,3,6,-4.517,-2.9203,37.012,17.1004,,,,
3,6,39.7103,6,3,6,-4.517,-2.9203,37.012,34.6222,,,,
3,6,38.7896,6,2.4,4,-4.517,-2.9203,39.7222,34.6222,,,,
